Source,Target
ABEBI,ABEBE
ABEBE,ABEBI
KWEKU,AKUA
KWEKU,KWAKU
KWEKU,EKUA
AKUA,KWEKU
AKUA,KWAKU
AKUA,EKUA
KWAKU,KWEKU
KWAKU,AKUA
KWAKU,EKUA
EKUA,KWEKU
EKUA,AKUA
EKUA,KWAKU
KWASI,AKWASIBAH
KWASI,AKWASI
KWASI,ESI
KWASI,KWESI
AKWASIBAH,KWASI
AKWASIBAH,AKWASI
AKWASIBAH,ESI
AKWASIBAH,KWESI
AKWASI,KWASI
AKWASI,AKWASIBAH
AKWASI,ESI
AKWASI,KWESI
ESI,KWASI
ESI,AKWASIBAH
ESI,AKWASI
ESI,KWESI
KWESI,KWASI
KWESI,AKWASIBAH
KWESI,AKWASI
KWESI,ESI
APIYO,APIO
APIO,APIYO
ARJANA,FIRDAUS
ARJANA,FIRDOS
ARJANA,FIRDOUS
FIRDAUS,ARJANA
FIRDAUS,FIRDOS
FIRDAUS,FIRDOUS
FIRDOS,ARJANA
FIRDOS,FIRDAUS
FIRDOS,FIRDOUS
FIRDOUS,ARJANA
FIRDOUS,FIRDAUS
FIRDOUS,FIRDOS
PER-UI,ATAKHERAMEN
PER-UI,ASROMIAMUN
ATAKHERAMEN,PER-UI
ATAKHERAMEN,ASROMIAMUN
ASROMIAMUN,PER-UI
ASROMIAMUN,ATAKHERAMEN
BAAKO,MOSI
MOSI,BAAKO
BAAS,MÂLEK
MÂLEK,BAAS
HAIG,ATI
HAIG,ATEF
HAIG,ABBAS
HAIG,ABUM
HAIG,ATTA
HAIG,BABA
HAIG,AMA
HAIG,PEPIJN
HAIG,ABBA
HAIG,AÏTOR
HAIG,HAYRIG
ATI,HAIG
ATI,ATEF
ATI,ABBAS
ATI,ABUM
ATI,ATTA
ATI,BABA
ATI,AMA
ATI,PEPIJN
ATI,ABBA
ATI,AÏTOR
ATI,HAYRIG
ATEF,HAIG
ATEF,ATI
ATEF,ABBAS
ATEF,ABUM
ATEF,ATTA
ATEF,BABA
ATEF,AMA
ATEF,PEPIJN
ATEF,ABBA
ATEF,AÏTOR
ATEF,HAYRIG
ABBAS,HAIG
ABBAS,ATI
ABBAS,ATEF
ABBAS,ABUM
ABBAS,ATTA
ABBAS,BABA
ABBAS,AMA
ABBAS,PEPIJN
ABBAS,ABBA
ABBAS,AÏTOR
ABBAS,HAYRIG
ABUM,HAIG
ABUM,ATI
ABUM,ATEF
ABUM,ABBAS
ABUM,ATTA
ABUM,BABA
ABUM,AMA
ABUM,PEPIJN
ABUM,ABBA
ABUM,AÏTOR
ABUM,HAYRIG
ATTA,HAIG
ATTA,ATI
ATTA,ATEF
ATTA,ABBAS
ATTA,ABUM
ATTA,BABA
ATTA,AMA
ATTA,PEPIJN
ATTA,ABBA
ATTA,AÏTOR
ATTA,HAYRIG
BABA,HAIG
BABA,ATI
BABA,ATEF
BABA,ABBAS
BABA,ABUM
BABA,ATTA
